filename,region_shape_attributes,region_attributes
Plate 64.jpg,"{""name"":""rect"",""x"":88,""y"":14,""width"":690,""height"":322}","{""name"":""Vada""}"
Plate 64.jpg,"{""name"":""rect"",""x"":1,""y"":346,""width"":274,""height"":222}","{""name"":""Chutney""}"
Plate 65.jpg,"{""name"":""rect"",""x"":157,""y"":142,""width"":325,""height"":249}","{""name"":""Idli""}"
Plate 70.jpg,"{""name"":""rect"",""x"":5,""y"":312,""width"":209,""height"":242}","{""name"":""Raita""}"
Plate 70.jpg,"{""name"":""rect"",""x"":3,""y"":0,""width"":289,""height"":234}","{""name"":""Papad""}"
Plate 82.jpg,"{""name"":""rect"",""x"":437,""y"":174,""width"":249,""height"":141}","{""name"":""Kheer""}"
Plate 82.jpg,"{""name"":""rect"",""x"":102,""y"":307,""width"":278,""height"":141}","{""name"":""Kheer""}"
Plate 83.jpg,"{""name"":""rect"",""x"":213,""y"":114,""width"":463,""height"":328}","{""name"":""Khichdi""}"
Plate 88.jpg,"{""name"":""rect"",""x"":640,""y"":326,""width"":143,""height"":145}","{""name"":""Raita""}"
Plate 88.jpg,"{""name"":""rect"",""x"":558,""y"":83,""width"":205,""height"":194}","{""name"":""Chutney""}"
Plate 99.jpg,"{""name"":""rect"",""x"":24,""y"":36,""width"":604,""height"":543}","{""name"":""Malpua""}"
Plate 109.jpg,"{""name"":""rect"",""x"":166,""y"":184,""width"":246,""height"":161}","{""name"":""Aloo Sabji""}"
Plate 115.jpg,"{""name"":""rect"",""x"":92,""y"":221,""width"":245,""height"":178}","{""name"":""Chutney""}"
Plate 116.jpg,"{""name"":""rect"",""x"":392,""y"":165,""width"":179,""height"":327}","{""name"":""Juice""}"
Plate 116.jpg,"{""name"":""rect"",""x"":191,""y"":274,""width"":120,""height"":270}","{""name"":""Juice""}"
Plate 116.jpg,"{""name"":""rect"",""x"":97,""y"":252,""width"":91,""height"":252}","{""name"":""Juice""}"
Plate 120.jpg,"{""name"":""rect"",""x"":68,""y"":44,""width"":487,""height"":374}","{""name"":""Naan""}"
Plate 121.jpg,"{""name"":""rect"",""x"":113,""y"":32,""width"":556,""height"":503}","{""name"":""Naan""}"
Plate 128.jpg,"{""name"":""rect"",""x"":193,""y"":122,""width"":425,""height"":224}","{""name"":""Pakora""}"
Plate 129.jpg,"{""name"":""rect"",""x"":13,""y"":45,""width"":764,""height"":452}","{""name"":""Palak Paneer""}"
Plate 132.jpg,"{""name"":""rect"",""x"":359,""y"":300,""width"":169,""height"":164}","{""name"":""Chutney""}"
Plate 135.jpg,"{""name"":""rect"",""x"":48,""y"":17,""width"":243,""height"":93}","{""name"":""Chutney""}"
Plate 135.jpg,"{""name"":""rect"",""x"":273,""y"":119,""width"":306,""height"":155}","{""name"":""Aloo Sabji""}"
Plate 136.jpg,"{""name"":""rect"",""x"":131,""y"":56,""width"":586,""height"":402}","{""name"":""Papad""}"
Plate 137.jpg,"{""name"":""rect"",""x"":241,""y"":8,""width"":410,""height"":512}","{""name"":""Salad""}"
Plate 140.jpg,"{""name"":""rect"",""x"":5,""y"":134,""width"":721,""height"":329}","{""name"":""Paratha""}"
Plate 141.jpg,"{""name"":""rect"",""x"":96,""y"":54,""width"":535,""height"":472}","{""name"":""Paratha""}"
Plate 148.jpg,"{""name"":""rect"",""x"":238,""y"":85,""width"":417,""height"":436}","{""name"":""Poori""}"
Plate 149.jpg,"{""name"":""rect"",""x"":519,""y"":47,""width"":124,""height"":104}","{""name"":""Chutney""}"
Plate 166.jpg,"{""name"":""rect"",""x"":186,""y"":121,""width"":266,""height"":203}","{""name"":""Chapati""}"
Plate 169.jpg,"{""name"":""rect"",""x"":504,""y"":18,""width"":235,""height"":201}","{""name"":""Paratha""}"
Plate 171.jpg,"{""name"":""rect"",""x"":10,""y"":72,""width"":254,""height"":246}","{""name"":""Chutney""}"
Plate 171.jpg,"{""name"":""rect"",""x"":279,""y"":39,""width"":467,""height"":222}","{""name"":""Idli""}"
Plate 172.jpg,"{""name"":""rect"",""x"":110,""y"":51,""width"":239,""height"":134}","{""name"":""Chutney""}"
Plate 172.jpg,"{""name"":""rect"",""x"":391,""y"":23,""width"":194,""height"":123}","{""name"":""Chutney""}"
Plate 173.jpg,"{""name"":""rect"",""x"":448,""y"":296,""width"":228,""height"":119}","{""name"":""Chutney""}"
Plate 176.jpg,"{""name"":""rect"",""x"":11,""y"":257,""width"":239,""height"":244}","{""name"":""Chutney""}"
Plate 177.jpg,"{""name"":""rect"",""x"":145,""y"":250,""width"":160,""height"":110}","{""name"":""Chutney""}"
Plate 177.jpg,"{""name"":""rect"",""x"":267,""y"":338,""width"":155,""height"":95}","{""name"":""Chutney""}"
Plate 180.jpg,"{""name"":""rect"",""x"":144,""y"":32,""width"":461,""height"":457}","{""name"":""Rice""}"
Plate 190.jpg,"{""name"":""rect"",""x"":563,""y"":73,""width"":217,""height"":392}","{""name"":""Soup""}"
Plate 192.jpg,"{""name"":""rect"",""x"":140,""y"":121,""width"":359,""height"":361}","{""name"":""Chaat""}"
Plate 193.jpg,"{""name"":""rect"",""x"":113,""y"":18,""width"":605,""height"":591}","{""name"":""Chaat""}"
Plate 196.jpg,"{""name"":""rect"",""x"":100,""y"":370,""width"":133,""height"":103}","{""name"":""Chutney""}"
Plate 197.jpg,"{""name"":""rect"",""x"":194,""y"":33,""width"":280,""height"":236}","{""name"":""Soup""}"
Plate 198.jpg,"{""name"":""rect"",""x"":273,""y"":10,""width"":217,""height"":157}","{""name"":""Salad""}"
Plate 198.jpg,"{""name"":""rect"",""x"":117,""y"":28,""width"":140,""height"":152}","{""name"":""Sauce""}"
Plate 198.jpg,"{""name"":""rect"",""x"":518,""y"":18,""width"":146,""height"":145}","{""name"":""Sauce""}"
Plate 199.jpg,"{""name"":""rect"",""x"":480,""y"":91,""width"":157,""height"":139}","{""name"":""Dal""}"
Plate 204.jpg,"{""name"":""rect"",""x"":41,""y"":41,""width"":714,""height"":521}","{""name"":""Soup""}"
Plate 205.jpg,"{""name"":""rect"",""x"":128,""y"":135,""width"":588,""height"":372}","{""name"":""Salad""}"
Plate 207.jpg,"{""name"":""rect"",""x"":355,""y"":18,""width"":427,""height"":402}","{""name"":""Salad""}"
Plate 207.jpg,"{""name"":""rect"",""x"":4,""y"":166,""width"":251,""height"":388}","{""name"":""Salad""}"
Plate 208.jpg,"{""name"":""rect"",""x"":201,""y"":184,""width"":305,""height"":312}","{""name"":""Chicken Curry""}"
Plate 209.jpg,"{""name"":""rect"",""x"":339,""y"":18,""width"":129,""height"":105}","{""name"":""Chutney""}"
Plate 209.jpg,"{""name"":""rect"",""x"":486,""y"":25,""width"":109,""height"":103}","{""name"":""Chutney""}"
Plate 209.jpg,"{""name"":""rect"",""x"":614,""y"":72,""width"":105,""height"":104}","{""name"":""Chutney""}"
Plate 209.jpg,"{""name"":""rect"",""x"":253,""y"":143,""width"":412,""height"":437}","{""name"":""Uttapam""}"
Plate 211.jpg,"{""name"":""rect"",""x"":241,""y"":102,""width"":302,""height"":365}","{""name"":""Gajar Ka Halwa""}"
Plate 211.jpg,"{""name"":""rect"",""x"":669,""y"":97,""width"":120,""height"":310}","{""name"":""Gajar Ka Halwa""}"
Plate 211.jpg,"{""name"":""rect"",""x"":5,""y"":8,""width"":204,""height"":268}","{""name"":""Gajar Ka Halwa""}"
Plate 213.jpg,"{""name"":""rect"",""x"":109,""y"":380,""width"":282,""height"":110}","{""name"":""Pakora""}"
Plate 228.jpg,"{""name"":""rect"",""x"":33,""y"":291,""width"":680,""height"":811}","{""name"":""Achar""}"
Plate 231.jpg,"{""name"":""rect"",""x"":71,""y"":333,""width"":654,""height"":580}","{""name"":""Vada""}"
Plate 233.jpg,"{""name"":""rect"",""x"":48,""y"":262,""width"":565,""height"":678}","{""name"":""Besan Chilla""}"
Plate 234.jpg,"{""name"":""rect"",""x"":7,""y"":367,""width"":744,""height"":625}","{""name"":""Laddu""}"
Plate 236.jpg,"{""name"":""rect"",""x"":68,""y"":379,""width"":689,""height"":576}","{""name"":""Dum Aloo""}"
Plate 246.jpg,"{""name"":""rect"",""x"":26,""y"":35,""width"":720,""height"":731}","{""name"":""Cake""}"
Plate 250.jpg,"{""name"":""rect"",""x"":60,""y"":362,""width"":657,""height"":465}","{""name"":""Chaat""}"
Plate 254.jpg,"{""name"":""rect"",""x"":15,""y"":299,""width"":718,""height"":431}","{""name"":""Dal""}"
Plate 256.jpg,"{""name"":""rect"",""x"":67,""y"":333,""width"":390,""height"":613}","{""name"":""Chapati""}"
Plate 256.jpg,"{""name"":""rect"",""x"":515,""y"":677,""width"":239,""height"":336}","{""name"":""Chapati""}"
Plate 264.jpg,"{""name"":""rect"",""x"":42,""y"":8,""width"":294,""height"":122}","{""name"":""Chutney""}"
Plate 264.jpg,"{""name"":""rect"",""x"":496,""y"":7,""width"":239,""height"":102}","{""name"":""Salad""}"
Plate 265.jpg,"{""name"":""rect"",""x"":43,""y"":285,""width"":686,""height"":571}","{""name"":""Chicken Curry""}"
Plate 270.jpg,"{""name"":""rect"",""x"":481,""y"":194,""width"":272,""height"":438}","{""name"":""Pulao""}"
Plate 270.jpg,"{""name"":""rect"",""x"":12,""y"":237,""width"":169,""height"":512}","{""name"":""Salad""}"
Plate 270.jpg,"{""name"":""rect"",""x"":213,""y"":23,""width"":256,""height"":275}","{""name"":""Chutney""}"
Plate 272.jpg,"{""name"":""rect"",""x"":43,""y"":330,""width"":710,""height"":559}","{""name"":""Chicken Curry""}"
Plate 286.jpg,"{""name"":""rect"",""x"":3,""y"":60,""width"":215,""height"":243}","{""name"":""Chutney""}"
Plate 286.jpg,"{""name"":""rect"",""x"":279,""y"":1,""width"":262,""height"":224}","{""name"":""Chutney""}"
Plate 289.jpg,"{""name"":""rect"",""x"":16,""y"":852,""width"":362,""height"":266}","{""name"":""Laddu""}"
Plate 297.jpg,"{""name"":""rect"",""x"":541,""y"":249,""width"":166,""height"":536}","{""name"":""Salad""}"
Plate 299.jpg,"{""name"":""rect"",""x"":302,""y"":159,""width"":383,""height"":817}","{""name"":""Pakora""}"
Plate 299.jpg,"{""name"":""rect"",""x"":11,""y"":699,""width"":270,""height"":322}","{""name"":""Pakora""}"
Plate 299.jpg,"{""name"":""rect"",""x"":7,""y"":313,""width"":276,""height"":364}","{""name"":""Raita""}"
Plate 301.jpg,"{""name"":""rect"",""x"":140,""y"":462,""width"":484,""height"":338}","{""name"":""Gajar Ka Halwa""}"
Plate 301.jpg,"{""name"":""rect"",""x"":300,""y"":102,""width"":458,""height"":249}","{""name"":""Gajar Ka Halwa""}"
Plate 304.jpg,"{""name"":""rect"",""x"":87,""y"":315,""width"":565,""height"":536}","{""name"":""Tea""}"
Plate 304.jpg,"{""name"":""rect"",""x"":457,""y"":4,""width"":303,""height"":300}","{""name"":""Tea""}"
Plate 306.jpg,"{""name"":""rect"",""x"":3,""y"":9,""width"":462,""height"":285}","{""name"":""Salad""}"
Plate 307.jpg,"{""name"":""rect"",""x"":12,""y"":292,""width"":720,""height"":688}","{""name"":""Paratha""}"
Plate 309.jpg,"{""name"":""rect"",""x"":102,""y"":401,""width"":601,""height"":454}","{""name"":""Laddu""}"
Plate 310.jpg,"{""name"":""rect"",""x"":29,""y"":261,""width"":624,""height"":719}","{""name"":""Aloo Beans""}"
Plate 311.jpg,"{""name"":""rect"",""x"":9,""y"":54,""width"":264,""height"":125}","{""name"":""Paratha""}"
Plate 316.jpg,"{""name"":""rect"",""x"":73,""y"":398,""width"":639,""height"":375}","{""name"":""Kheer""}"
Plate 321.jpg,"{""name"":""rect"",""x"":76,""y"":261,""width"":646,""height"":655}","{""name"":""Soup""}"
Plate 324.jpg,"{""name"":""rect"",""x"":14,""y"":15,""width"":257,""height"":163}","{""name"":""Chapati""}"
Plate 340.jpg,"{""name"":""rect"",""x"":208,""y"":402,""width"":357,""height"":292}","{""name"":""Tea""}"
Plate 340.jpg,"{""name"":""rect"",""x"":19,""y"":11,""width"":357,""height"":169}","{""name"":""Tea""}"
Plate 346.jpg,"{""name"":""rect"",""x"":42,""y"":54,""width"":163,""height"":129}","{""name"":""Kheer""}"
Plate 347.jpg,"{""name"":""rect"",""x"":90,""y"":447,""width"":578,""height"":349}","{""name"":""Kheer""}"
Plate 355.jpg,"{""name"":""rect"",""x"":37,""y"":313,""width"":705,""height"":465}","{""name"":""Lemon Rice""}"
Plate 359.jpg,"{""name"":""rect"",""x"":97,""y"":347,""width"":595,""height"":439}","{""name"":""Chutney""}"
Plate 360.jpg,"{""name"":""rect"",""x"":8,""y"":169,""width"":318,""height"":317}","{""name"":""Rice""}"
Plate 360.jpg,"{""name"":""rect"",""x"":360,""y"":189,""width"":377,""height"":269}","{""name"":""Raita""}"
Plate 360.jpg,"{""name"":""rect"",""x"":227,""y"":507,""width"":409,""height"":277}","{""name"":""Dal""}"
Plate 360.jpg,"{""name"":""rect"",""x"":8,""y"":495,""width"":171,""height"":390}","{""name"":""Papad""}"
Plate 363.jpg,"{""name"":""rect"",""x"":159,""y"":390,""width"":507,""height"":377}","{""name"":""Achar""}"
Plate 366.jpg,"{""name"":""rect"",""x"":26,""y"":397,""width"":726,""height"":484}","{""name"":""Dal""}"
Plate 370.jpg,"{""name"":""rect"",""x"":102,""y"":300,""width"":556,""height"":549}","{""name"":""Dal""}"
Plate 374.jpg,"{""name"":""rect"",""x"":109,""y"":457,""width"":546,""height"":454}","{""name"":""Bhaji""}"
Plate 377.jpg,"{""name"":""rect"",""x"":38,""y"":408,""width"":716,""height"":434}","{""name"":""Paratha""}"
Plate 377.jpg,"{""name"":""rect"",""x"":517,""y"":219,""width"":246,""height"":201}","{""name"":""Raita""}"
Plate 378.jpg,"{""name"":""rect"",""x"":52,""y"":38,""width"":192,""height"":113}","{""name"":""Soup""}"
Plate 381.jpg,"{""name"":""rect"",""x"":109,""y"":311,""width"":629,""height"":544}","{""name"":""Mysore Pak""}"
Plate 387.jpg,"{""name"":""rect"",""x"":24,""y"":299,""width"":735,""height"":616}","{""name"":""Pakora""}"
Plate 390.jpg,"{""name"":""rect"",""x"":67,""y"":223,""width"":646,""height"":570}","{""name"":""Palak Corn""}"
Plate 391.jpg,"{""name"":""rect"",""x"":7,""y"":10,""width"":415,""height"":185}","{""name"":""Salad""}"
Plate 391.jpg,"{""name"":""rect"",""x"":15,""y"":226,""width"":285,""height"":241}","{""name"":""Chutney""}"
Plate 394.jpg,"{""name"":""rect"",""x"":61,""y"":375,""width"":642,""height"":604}","{""name"":""Paneer Curry""}"
Plate 397.jpg,"{""name"":""rect"",""x"":72,""y"":391,""width"":638,""height"":502}","{""name"":""Paratha""}"
Plate 397.jpg,"{""name"":""rect"",""x"":438,""y"":242,""width"":269,""height"":137}","{""name"":""Chutney""}"
Plate 397.jpg,"{""name"":""rect"",""x"":7,""y"":296,""width"":224,""height"":280}","{""name"":""Salad""}"
Plate 397.jpg,"{""name"":""rect"",""x"":15,""y"":8,""width"":290,""height"":205}","{""name"":""Raita""}"
Plate 401.jpg,"{""name"":""rect"",""x"":117,""y"":500,""width"":508,""height"":416}","{""name"":""Bhaji""}"
Plate 408.jpg,"{""name"":""rect"",""x"":11,""y"":472,""width"":727,""height"":525}","{""name"":""Paratha""}"
Plate 408.jpg,"{""name"":""rect"",""x"":548,""y"":222,""width"":209,""height"":264}","{""name"":""Raita""}"
Plate 408.jpg,"{""name"":""rect"",""x"":353,""y"":171,""width"":175,""height"":223}","{""name"":""Achar""}"
Plate 409.jpg,"{""name"":""rect"",""x"":454,""y"":205,""width"":306,""height"":275}","{""name"":""Sauce""}"
Plate 411.jpg,"{""name"":""rect"",""x"":90,""y"":438,""width"":625,""height"":568}","{""name"":""Paratha""}"
Plate 413.jpg,"{""name"":""rect"",""x"":48,""y"":402,""width"":676,""height"":472}","{""name"":""Fried Rice""}"
Plate 414.jpg,"{""name"":""rect"",""x"":173,""y"":197,""width"":284,""height"":151}","{""name"":""Chutney""}"
Plate 414.jpg,"{""name"":""rect"",""x"":7,""y"":232,""width"":86,""height"":174}","{""name"":""Chutney""}"
Plate 414.jpg,"{""name"":""rect"",""x"":19,""y"":502,""width"":678,""height"":506}","{""name"":""Chaat""}"
Plate 415.jpg,"{""name"":""rect"",""x"":18,""y"":20,""width"":370,""height"":268}","{""name"":""Salad""}"
Plate 417.jpg,"{""name"":""rect"",""x"":64,""y"":466,""width"":674,""height"":519}","{""name"":""Rasam""}"
Plate 418.jpg,"{""name"":""rect"",""x"":76,""y"":279,""width"":608,""height"":605}","{""name"":""Dal""}"
Plate 420.jpg,"{""name"":""rect"",""x"":10,""y"":76,""width"":239,""height"":296}","{""name"":""Biryani""}"
Plate 420.jpg,"{""name"":""rect"",""x"":266,""y"":88,""width"":231,""height"":257}","{""name"":""Pulao""}"
Plate 420.jpg,"{""name"":""rect"",""x"":549,""y"":150,""width"":196,""height"":211}","{""name"":""Pulao""}"
Plate 420.jpg,"{""name"":""rect"",""x"":12,""y"":458,""width"":200,""height"":241}","{""name"":""Fried Rice""}"
Plate 420.jpg,"{""name"":""rect"",""x"":11,""y"":811,""width"":212,""height"":270}","{""name"":""Biryani""}"
Plate 420.jpg,"{""name"":""rect"",""x"":265,""y"":840,""width"":241,""height"":234}","{""name"":""Fried Rice""}"
Plate 420.jpg,"{""name"":""rect"",""x"":517,""y"":807,""width"":246,""height"":204}","{""name"":""Lemon Rice""}"
Plate 424.jpg,"{""name"":""rect"",""x"":37,""y"":333,""width"":699,""height"":601}","{""name"":""Pulao""}"
Plate 425.jpg,"{""name"":""rect"",""x"":79,""y"":209,""width"":211,""height"":514}","{""name"":""Salad""}"
Plate 425.jpg,"{""name"":""rect"",""x"":401,""y"":7,""width"":360,""height"":110}","{""name"":""Salad""}"
Plate 425.jpg,"{""name"":""rect"",""x"":1,""y"":16,""width"":231,""height"":164}","{""name"":""Raita""}"
Plate 427.jpg,"{""name"":""rect"",""x"":498,""y"":272,""width"":257,""height"":595}","{""name"":""Salad""}"
Plate 444.jpg,"{""name"":""rect"",""x"":83,""y"":419,""width"":629,""height"":625}","{""name"":""Laddu""}"
Plate 445.jpg,"{""name"":""rect"",""x"":6,""y"":11,""width"":352,""height"":230}","{""name"":""Salad""}"
Plate 445.jpg,"{""name"":""rect"",""x"":91,""y"":317,""width"":627,""height"":580}","{""name"":""Paneer Curry""}"
Plate 446.jpg,"{""name"":""rect"",""x"":29,""y"":302,""width"":708,""height"":623}","{""name"":""Paneer Curry""}"
Plate 447.jpg,"{""name"":""rect"",""x"":118,""y"":491,""width"":383,""height"":302}","{""name"":""Dal""}"
Plate 447.jpg,"{""name"":""rect"",""x"":106,""y"":258,""width"":536,""height"":192}","{""name"":""Rice""}"
Plate 448.jpg,"{""name"":""rect"",""x"":50,""y"":355,""width"":632,""height"":571}","{""name"":""Dal""}"
Plate 448.jpg,"{""name"":""rect"",""x"":10,""y"":4,""width"":177,""height"":266}","{""name"":""Dal""}"
Plate 451.jpg,"{""name"":""rect"",""x"":64,""y"":438,""width"":644,""height"":488}","{""name"":""Pulao""}"
Plate 452.jpg,"{""name"":""rect"",""x"":130,""y"":383,""width"":447,""height"":553}","{""name"":""Juice""}"
Plate 452.jpg,"{""name"":""rect"",""x"":431,""y"":13,""width"":314,""height"":416}","{""name"":""Juice""}"
Plate 453.jpg,"{""name"":""rect"",""x"":19,""y"":288,""width"":699,""height"":605}","{""name"":""Upma""}"
Plate 454.jpg,"{""name"":""rect"",""x"":65,""y"":163,""width"":629,""height"":856}","{""name"":""Dal""}"
Plate 458.jpg,"{""name"":""rect"",""x"":60,""y"":340,""width"":682,""height"":670}","{""name"":""Fried Rice""}"
Plate 461.jpg,"{""name"":""rect"",""x"":18,""y"":265,""width"":708,""height"":527}","{""name"":""Sandwich""}"
Plate 462.jpg,"{""name"":""rect"",""x"":8,""y"":192,""width"":362,""height"":548}","{""name"":""Poori""}"
Plate 462.jpg,"{""name"":""rect"",""x"":415,""y"":431,""width"":178,""height"":153}","{""name"":""Aloo Sabji""}"
Plate 463.jpg,"{""name"":""rect"",""x"":67,""y"":12,""width"":364,""height"":163}","{""name"":""Tea""}"
Plate 466.jpg,"{""name"":""rect"",""x"":64,""y"":311,""width"":682,""height"":534}","{""name"":""Sandwich""}"
Plate 468.jpg,"{""name"":""rect"",""x"":24,""y"":262,""width"":298,""height"":193}","{""name"":""Salad""}"
Plate 470.jpg,"{""name"":""rect"",""x"":559,""y"":12,""width"":182,""height"":164}","{""name"":""Chutney""}"
Plate 471.jpg,"{""name"":""rect"",""x"":207,""y"":52,""width"":254,""height"":179}","{""name"":""Chutney""}"
Plate 472.jpg,"{""name"":""rect"",""x"":120,""y"":450,""width"":559,""height"":428}","{""name"":""Chutney""}"
Plate 472.jpg,"{""name"":""rect"",""x"":378,""y"":49,""width"":382,""height"":367}","{""name"":""Chutney""}"
Plate 473.jpg,"{""name"":""rect"",""x"":98,""y"":228,""width"":530,""height"":884}","{""name"":""Achar""}"
Plate 480.jpg,"{""name"":""rect"",""x"":20,""y"":325,""width"":711,""height"":650}","{""name"":""Biryani""}"
Plate 483.jpg,"{""name"":""rect"",""x"":56,""y"":401,""width"":699,""height"":510}","{""name"":""Pakora""}"
Plate 483.jpg,"{""name"":""rect"",""x"":141,""y"":261,""width"":242,""height"":137}","{""name"":""Chutney""}"
Plate 484.jpg,"{""name"":""rect"",""x"":27,""y"":337,""width"":685,""height"":405}","{""name"":""Aloo Palak""}"
Plate 486.jpg,"{""name"":""rect"",""x"":5,""y"":219,""width"":322,""height"":321}","{""name"":""Chutney""}"
Plate 487.jpg,"{""name"":""rect"",""x"":12,""y"":362,""width"":739,""height"":461}","{""name"":""Biryani""}"
Plate 487.jpg,"{""name"":""rect"",""x"":598,""y"":64,""width"":164,""height"":143}","{""name"":""Raita""}"
Plate 491.jpg,"{""name"":""rect"",""x"":30,""y"":321,""width"":684,""height"":504}","{""name"":""Biryani""}"
Plate 492.jpg,"{""name"":""rect"",""x"":330,""y"":329,""width"":356,""height"":436}","{""name"":""Chicken Curry""}"
Plate 498.jpg,"{""name"":""rect"",""x"":38,""y"":236,""width"":510,""height"":490}","{""name"":""Laddu""}"
Plate 500.jpg,"{""name"":""rect"",""x"":372,""y"":9,""width"":360,""height"":193}","{""name"":""Chutney""}"
Plate 503.jpg,"{""name"":""rect"",""x"":167,""y"":313,""width"":330,""height"":575}","{""name"":""Juice""}"
Plate 503.jpg,"{""name"":""rect"",""x"":432,""y"":806,""width"":322,""height"":334}","{""name"":""Apple""}"
Plate 503.jpg,"{""name"":""rect"",""x"":155,""y"":23,""width"":604,""height"":332}","{""name"":""Apple""}"
Plate 508.jpg,"{""name"":""rect"",""x"":34,""y"":256,""width"":677,""height"":406}","{""name"":""Upma""}"
Plate 509.jpg,"{""name"":""rect"",""x"":97,""y"":270,""width"":618,""height"":572}","{""name"":""Sandwich""}"
Plate 512.jpg,"{""name"":""rect"",""x"":88,""y"":353,""width"":613,""height"":469}","{""name"":""Khichdi""}"
Plate 514.jpg,"{""name"":""rect"",""x"":110,""y"":489,""width"":552,""height"":510}","{""name"":""Halwa""}"
Plate 515.jpg,"{""name"":""rect"",""x"":88,""y"":343,""width"":580,""height"":401}","{""name"":""Kheer""}"
Plate 516.jpg,"{""name"":""rect"",""x"":90,""y"":338,""width"":572,""height"":439}","{""name"":""Laddu""}"
Plate 518.jpg,"{""name"":""rect"",""x"":12,""y"":241,""width"":745,""height"":757}","{""name"":""Rice""}"
Plate 522.jpg,"{""name"":""rect"",""x"":11,""y"":272,""width"":752,""height"":595}","{""name"":""Cake""}"
Plate 525.jpg,"{""name"":""rect"",""x"":9,""y"":206,""width"":526,""height"":425}","{""name"":""Laddu""}"
Plate 529.jpg,"{""name"":""rect"",""x"":14,""y"":139,""width"":745,""height"":894}","{""name"":""Rice""}"
Plate 533.jpg,"{""name"":""rect"",""x"":3,""y"":242,""width"":206,""height"":248}","{""name"":""Dal""}"
Plate 538.jpg,"{""name"":""rect"",""x"":112,""y"":259,""width"":535,""height"":511}","{""name"":""Paratha""}"
Plate 538.jpg,"{""name"":""rect"",""x"":340,""y"":4,""width"":310,""height"":148}","{""name"":""Dal""}"
Plate 539.jpg,"{""name"":""rect"",""x"":7,""y"":276,""width"":712,""height"":481}","{""name"":""Pulao""}"
Plate 546.jpg,"{""name"":""rect"",""x"":33,""y"":251,""width"":306,""height"":203}","{""name"":""Salad""}"
Plate 546.jpg,"{""name"":""rect"",""x"":23,""y"":469,""width"":737,""height"":510}","{""name"":""Bhatura""}"
Plate 547.jpg,"{""name"":""rect"",""x"":10,""y"":19,""width"":234,""height"":213}","{""name"":""Chutney""}"
Plate 547.jpg,"{""name"":""rect"",""x"":239,""y"":179,""width"":249,""height"":196}","{""name"":""Chutney""}"
Plate 547.jpg,"{""name"":""rect"",""x"":283,""y"":7,""width"":260,""height"":95}","{""name"":""Chutney""}"
Plate 549.jpg,"{""name"":""rect"",""x"":402,""y"":3,""width"":360,""height"":269}","{""name"":""Dal""}"
Plate 549.jpg,"{""name"":""rect"",""x"":116,""y"":368,""width"":518,""height"":466}","{""name"":""Bhindi Masala""}"
